  0%|                                                                                                                           | 0/104061 [00:00<?, ?it/s]/home/dang.nh4/miniconda3/envs/ecg-qa/lib/python3.11/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
                                                                                                                                                           
{'loss': 2.1344, 'learning_rate': 6.406149903907751e-09, 'epoch': 0.0}
{'loss': 1.8546, 'learning_rate': 1.2812299807815502e-08, 'epoch': 0.0}
{'loss': 1.6563, 'learning_rate': 1.9218449711723257e-08, 'epoch': 0.0}
{'loss': 3.3209, 'learning_rate': 2.5624599615631005e-08, 'epoch': 0.0}
{'loss': 2.7197, 'learning_rate': 3.203074951953876e-08, 'epoch': 0.0}
{'loss': 2.4267, 'learning_rate': 3.8436899423446514e-08, 'epoch': 0.0}
{'loss': 2.2958, 'learning_rate': 4.4843049327354265e-08, 'epoch': 0.0}
{'loss': 1.791, 'learning_rate': 5.124919923126201e-08, 'epoch': 0.0}
{'loss': 1.8584, 'learning_rate': 5.7655349135169774e-08, 'epoch': 0.0}
{'loss': 1.9885, 'learning_rate': 6.406149903907752e-08, 'epoch': 0.0}
{'loss': 2.0076, 'learning_rate': 7.046764894298526e-08, 'epoch': 0.0}
{'loss': 2.8135, 'learning_rate': 7.687379884689303e-08, 'epoch': 0.0}
{'loss': 2.0325, 'learning_rate': 8.327994875080077e-08, 'epoch': 0.0}
{'loss': 2.1879, 'learning_rate': 8.968609865470853e-08, 'epoch': 0.0}
{'loss': 2.1807, 'learning_rate': 9.609224855861628e-08, 'epoch': 0.0}
{'loss': 2.1169, 'learning_rate': 1.0249839846252402e-07, 'epoch': 0.0}
{'loss': 2.276, 'learning_rate': 1.0890454836643178e-07, 'epoch': 0.0}
{'loss': 2.3235, 'learning_rate': 1.1531069827033955e-07, 'epoch': 0.0}
{'loss': 3.7888, 'learning_rate': 1.2171684817424729e-07, 'epoch': 0.0}
{'loss': 3.2915, 'learning_rate': 1.2812299807815505e-07, 'epoch': 0.0}
{'loss': 3.1655, 'learning_rate': 1.345291479820628e-07, 'epoch': 0.0}
{'loss': 2.0076, 'learning_rate': 1.4093529788597053e-07, 'epoch': 0.0}
{'loss': 2.002, 'learning_rate': 1.473414477898783e-07, 'epoch': 0.0}
{'loss': 2.99, 'learning_rate': 1.5374759769378605e-07, 'epoch': 0.0}
{'loss': 2.0033, 'learning_rate': 1.601537475976938e-07, 'epoch': 0.0}
{'loss': 2.7633, 'learning_rate': 1.6655989750160153e-07, 'epoch': 0.0}
{'loss': 2.2693, 'learning_rate': 1.7296604740550932e-07, 'epoch': 0.0}
{'loss': 1.5505, 'learning_rate': 1.7937219730941706e-07, 'epoch': 0.0}
{'loss': 3.2971, 'learning_rate': 1.857783472133248e-07, 'epoch': 0.0}
{'loss': 2.2934, 'learning_rate': 1.9218449711723256e-07, 'epoch': 0.0}
{'loss': 3.335, 'learning_rate': 1.985906470211403e-07, 'epoch': 0.0}
{'loss': 2.1986, 'learning_rate': 2.0499679692504804e-07, 'epoch': 0.0}
{'loss': 2.1923, 'learning_rate': 2.1140294682895583e-07, 'epoch': 0.0}
{'loss': 1.8976, 'learning_rate': 2.1780909673286357e-07, 'epoch': 0.0}
{'loss': 2.2133, 'learning_rate': 2.242152466367713e-07, 'epoch': 0.0}
{'loss': 3.2745, 'learning_rate': 2.306213965406791e-07, 'epoch': 0.0}
{'loss': 1.825, 'learning_rate': 2.3702754644458683e-07, 'epoch': 0.0}
{'loss': 2.2661, 'learning_rate': 2.4343369634849457e-07, 'epoch': 0.0}
{'loss': 2.1303, 'learning_rate': 2.4983984625240236e-07, 'epoch': 0.0}
{'loss': 2.1477, 'learning_rate': 2.562459961563101e-07, 'epoch': 0.0}
{'loss': 1.9521, 'learning_rate': 2.6265214606021784e-07, 'epoch': 0.0}
{'loss': 2.0364, 'learning_rate': 2.690582959641256e-07, 'epoch': 0.0}
{'loss': 1.6437, 'learning_rate': 2.754644458680333e-07, 'epoch': 0.0}
{'loss': 2.4651, 'learning_rate': 2.8187059577194105e-07, 'epoch': 0.0}
{'loss': 2.2425, 'learning_rate': 2.8827674567584884e-07, 'epoch': 0.0}
{'loss': 2.9128, 'learning_rate': 2.946828955797566e-07, 'epoch': 0.0}
{'loss': 2.0191, 'learning_rate': 3.010890454836643e-07, 'epoch': 0.0}
{'loss': 1.8995, 'learning_rate': 3.074951953875721e-07, 'epoch': 0.0}
{'loss': 2.6814, 'learning_rate': 3.1390134529147985e-07, 'epoch': 0.0}
{'loss': 2.1616, 'learning_rate': 3.203074951953876e-07, 'epoch': 0.0}
{'loss': 2.2073, 'learning_rate': 3.267136450992953e-07, 'epoch': 0.0}
{'loss': 3.8521, 'learning_rate': 3.3311979500320306e-07, 'epoch': 0.0}
{'loss': 2.5242, 'learning_rate': 3.395259449071109e-07, 'epoch': 0.0}
{'loss': 1.605, 'learning_rate': 3.4593209481101864e-07, 'epoch': 0.0}
{'loss': 1.7297, 'learning_rate': 3.523382447149264e-07, 'epoch': 0.0}
{'loss': 2.3691, 'learning_rate': 3.587443946188341e-07, 'epoch': 0.0}
{'loss': 2.2069, 'learning_rate': 3.6515054452274186e-07, 'epoch': 0.0}
{'loss': 1.8465, 'learning_rate': 3.715566944266496e-07, 'epoch': 0.0}
{'loss': 2.0757, 'learning_rate': 3.779628443305574e-07, 'epoch': 0.0}
{'loss': 3.1994, 'learning_rate': 3.843689942344651e-07, 'epoch': 0.0}
{'loss': 2.8334, 'learning_rate': 3.9077514413837286e-07, 'epoch': 0.0}
{'loss': 1.7809, 'learning_rate': 3.971812940422806e-07, 'epoch': 0.0}
{'loss': 3.5098, 'learning_rate': 4.0358744394618834e-07, 'epoch': 0.0}
{'loss': 3.3701, 'learning_rate': 4.099935938500961e-07, 'epoch': 0.0}
{'loss': 2.6897, 'learning_rate': 4.163997437540039e-07, 'epoch': 0.0}
{'loss': 2.3948, 'learning_rate': 4.2280589365791166e-07, 'epoch': 0.0}
{'loss': 1.8606, 'learning_rate': 4.292120435618194e-07, 'epoch': 0.0}
{'loss': 2.0672, 'learning_rate': 4.3561819346572713e-07, 'epoch': 0.0}
{'loss': 2.9168, 'learning_rate': 4.4202434336963487e-07, 'epoch': 0.0}
{'loss': 1.7793, 'learning_rate': 4.484304932735426e-07, 'epoch': 0.0}
{'loss': 3.2666, 'learning_rate': 4.548366431774504e-07, 'epoch': 0.0}
{'loss': 1.8683, 'learning_rate': 4.612427930813582e-07, 'epoch': 0.0}
{'loss': 2.2876, 'learning_rate': 4.6764894298526593e-07, 'epoch': 0.0}
{'loss': 1.9855, 'learning_rate': 4.7405509288917367e-07, 'epoch': 0.0}
{'loss': 2.0833, 'learning_rate': 4.804612427930814e-07, 'epoch': 0.0}
{'loss': 2.9905, 'learning_rate': 4.868673926969891e-07, 'epoch': 0.0}
{'loss': 2.1336, 'learning_rate': 4.932735426008969e-07, 'epoch': 0.0}
{'loss': 1.805, 'learning_rate': 4.996796925048047e-07, 'epoch': 0.0}
{'loss': 2.1274, 'learning_rate': 5.060858424087125e-07, 'epoch': 0.0}
{'loss': 2.0436, 'learning_rate': 5.124919923126202e-07, 'epoch': 0.0}
{'loss': 2.249, 'learning_rate': 5.188981422165279e-07, 'epoch': 0.0}
{'loss': 2.2531, 'learning_rate': 5.253042921204357e-07, 'epoch': 0.0}
{'loss': 2.0891, 'learning_rate': 5.317104420243434e-07, 'epoch': 0.0}
{'loss': 1.8632, 'learning_rate': 5.381165919282512e-07, 'epoch': 0.0}
{'loss': 1.8514, 'learning_rate': 5.445227418321589e-07, 'epoch': 0.0}
{'loss': 1.7329, 'learning_rate': 5.509288917360666e-07, 'epoch': 0.0}
{'loss': 2.8584, 'learning_rate': 5.573350416399744e-07, 'epoch': 0.0}
{'loss': 2.1993, 'learning_rate': 5.637411915438821e-07, 'epoch': 0.0}
{'loss': 2.4636, 'learning_rate': 5.701473414477899e-07, 'epoch': 0.0}
{'loss': 1.8858, 'learning_rate': 5.765534913516977e-07, 'epoch': 0.0}
{'loss': 2.1112, 'learning_rate': 5.829596412556054e-07, 'epoch': 0.0}
{'loss': 1.8356, 'learning_rate': 5.893657911595132e-07, 'epoch': 0.0}
{'loss': 2.2528, 'learning_rate': 5.957719410634209e-07, 'epoch': 0.0}
{'loss': 2.0134, 'learning_rate': 6.021780909673286e-07, 'epoch': 0.0}
{'loss': 2.2194, 'learning_rate': 6.085842408712364e-07, 'epoch': 0.0}
{'loss': 1.9225, 'learning_rate': 6.149903907751442e-07, 'epoch': 0.0}
{'loss': 2.3598, 'learning_rate': 6.21396540679052e-07, 'epoch': 0.0}
{'loss': 1.8393, 'learning_rate': 6.278026905829597e-07, 'epoch': 0.0}
{'loss': 1.7259, 'learning_rate': 6.342088404868675e-07, 'epoch': 0.0}
{'loss': 4.057, 'learning_rate': 6.406149903907752e-07, 'epoch': 0.0}
{'loss': 2.1083, 'learning_rate': 6.47021140294683e-07, 'epoch': 0.0}
{'loss': 1.7346, 'learning_rate': 6.534272901985906e-07, 'epoch': 0.0}
{'loss': 2.0889, 'learning_rate': 6.598334401024985e-07, 'epoch': 0.0}
{'loss': 1.8896, 'learning_rate': 6.662395900064061e-07, 'epoch': 0.0}
{'loss': 2.2952, 'learning_rate': 6.72645739910314e-07, 'epoch': 0.0}
{'loss': 1.9415, 'learning_rate': 6.790518898142218e-07, 'epoch': 0.0}
{'loss': 1.959, 'learning_rate': 6.854580397181294e-07, 'epoch': 0.0}
{'loss': 1.6365, 'learning_rate': 6.918641896220373e-07, 'epoch': 0.0}
{'loss': 1.7832, 'learning_rate': 6.982703395259449e-07, 'epoch': 0.0}
{'loss': 2.9963, 'learning_rate': 7.046764894298528e-07, 'epoch': 0.0}
{'loss': 2.3406, 'learning_rate': 7.110826393337604e-07, 'epoch': 0.0}
{'loss': 1.8322, 'learning_rate': 7.174887892376682e-07, 'epoch': 0.0}
{'loss': 1.8765, 'learning_rate': 7.23894939141576e-07, 'epoch': 0.0}
{'loss': 1.813, 'learning_rate': 7.303010890454837e-07, 'epoch': 0.0}
{'loss': 2.0856, 'learning_rate': 7.367072389493914e-07, 'epoch': 0.0}
{'loss': 2.0073, 'learning_rate': 7.431133888532992e-07, 'epoch': 0.0}
{'loss': 2.2655, 'learning_rate': 7.49519538757207e-07, 'epoch': 0.0}
{'loss': 2.5362, 'learning_rate': 7.559256886611148e-07, 'epoch': 0.0}
{'loss': 2.2006, 'learning_rate': 7.623318385650225e-07, 'epoch': 0.0}
{'loss': 1.771, 'learning_rate': 7.687379884689302e-07, 'epoch': 0.0}
{'loss': 1.8588, 'learning_rate': 7.75144138372838e-07, 'epoch': 0.0}
